"","Date","num_day","num_ind","num_dir","percent_ind"
"354","1/20/2011",65,4,61,6.55737704918033
"355","1/20/2012",55,2,53,3.77358490566038
"356","1/20/2013",126,2,124,1.61290322580645
"357","1/20/2014",74,1,73,1.36986301369863
"358","1/20/2015",76,1,75,1.33333333333333
"359","1/20/2016",68,2,66,3.03030303030303
"360","1/20/2017",65,1,64,1.5625
"361","1/20/2018",50,5,45,11.1111111111111
"362","1/20/2019",124,3,121,2.47933884297521
"363","1/20/2020",70,0,70,0
"364","1/20/2021",72,3,69,4.34782608695652
"365","1/21/1994",61,1,60,1.66666666666667
"366","1/21/1995",58,2,56,3.57142857142857
"367","1/21/1996",124,1,123,0.813008130081301
"368","1/21/1997",74,0,74,0
"369","1/21/1998",76,0,76,0
"370","1/21/1999",67,2,65,3.07692307692308
"371","1/21/2000",62,1,61,1.63934426229508
"372","1/21/2001",128,10,118,8.47457627118644
"373","1/21/2002",75,3,72,4.16666666666667
"374","1/21/2003",73,1,72,1.38888888888889
"375","1/21/2004",74,1,73,1.36986301369863
"376","1/21/2005",28,0,28,0
"377","1/21/2006",47,2,45,4.44444444444444
"378","1/21/2007",119,3,116,2.58620689655172
"379","1/21/2008",76,1,75,1.33333333333333
"380","1/21/2009",74,4,70,5.71428571428571
"381","1/21/2010",63,2,61,3.27868852459016
"382","1/21/2011",64,4,60,6.66666666666667
"383","1/21/2012",64,8,56,14.2857142857143
"384","1/21/2013",73,1,72,1.38888888888889
"385","1/21/2014",78,0,78,0
"386","1/21/2015",76,1,75,1.33333333333333
"387","1/21/2016",76,1,75,1.33333333333333
"388","1/21/2017",65,2,63,3.17460317460317
"389","1/21/2018",118,4,114,3.50877192982456
"390","1/21/2019",74,0,74,0
"391","1/21/2020",75,2,73,2.73972602739726
"392","1/21/2021",72,3,69,4.34782608695652
"393","1/22/1994",70,2,68,2.94117647058824
"394","1/22/1995",118,1,117,0.854700854700855
"395","1/22/1996",72,0,72,0
"396","1/22/1997",71,0,71,0
"397","1/22/1998",73,0,73,0
"398","1/22/1999",68,1,67,1.49253731343284
"399","1/22/2000",55,2,53,3.77358490566038
"400","1/22/2001",75,4,71,5.63380281690141
"401","1/22/2002",76,0,76,0
"402","1/22/2003",69,1,68,1.47058823529412
"403","1/22/2004",72,0,72,0
"404","1/22/2005",48,6,42,14.2857142857143
"405","1/22/2006",130,4,126,3.17460317460317
"406","1/22/2007",73,2,71,2.8169014084507
"407","1/22/2008",79,3,76,3.94736842105263
"408","1/22/2009",71,3,68,4.41176470588235
"409","1/22/2010",66,6,60,10
"410","1/22/2011",64,6,58,10.3448275862069
"411","1/22/2012",116,4,112,3.57142857142857
"412","1/22/2013",72,3,69,4.34782608695652
"413","1/22/2014",66,2,64,3.125
"414","1/22/2015",71,6,65,9.23076923076923
"415","1/22/2016",60,3,57,5.26315789473684
"416","1/22/2017",122,9,113,7.9646017699115
"417","1/22/2018",74,1,73,1.36986301369863
"418","1/22/2019",73,2,71,2.8169014084507
"419","1/22/2020",77,3,74,4.05405405405405
"420","1/22/2021",66,4,62,6.45161290322581
"421","1/23/1994",124,6,118,5.08474576271187
"422","1/23/1995",74,2,72,2.77777777777778
"423","1/23/1996",73,0,73,0
"424","1/23/1997",68,1,67,1.49253731343284
"425","1/23/1998",67,2,65,3.07692307692308
"426","1/23/1999",49,2,47,4.25531914893617
"427","1/23/2000",122,2,120,1.66666666666667
"428","1/23/2001",71,0,71,0
"429","1/23/2002",74,2,72,2.77777777777778
"430","1/23/2003",71,0,71,0
"431","1/23/2004",60,0,60,0
"432","1/23/2005",126,4,122,3.27868852459016
"433","1/23/2006",74,2,72,2.77777777777778
"434","1/23/2007",73,1,72,1.38888888888889
"435","1/23/2008",67,1,66,1.51515151515152
"436","1/23/2009",65,1,64,1.5625
"437","1/23/2010",62,5,57,8.7719298245614
"438","1/23/2011",138,8,130,6.15384615384615
"439","1/23/2012",76,0,76,0
"440","1/23/2013",68,6,62,9.67741935483871
"441","1/23/2014",73,1,72,1.38888888888889
"442","1/23/2015",66,10,56,17.8571428571429
